哀江頭	ai[wk jl[dg tz[dd
辭家終擬長遊衍	ci[ql jx[gu vs[sw ni[fs ih[ph yz[df yj[rd
此皆騎戰一敵萬	ci[vb jp[bb qi[md vj[bg yi[hh di[qw wj[hv
此樂本自龜茲出	ci[vb le[px bf[ah zi[pm qq[do ci[by iu[ck
賜名大國虢與秦	ci[bo mk[xk da[hr go[ww go[ah yu[hv qb[sh
此木豈無陰	ci[vb mu[ub qi[uk wu[ee yb[eo
慈母手中線	ci[bx mu[vv uz[su vs[ku xm[sj
此情可待成追憶	ci[vb qk[xf ke[dk dd[rt ig[wv vv[pz yi[xv
此去隨所偶	ci[vb qu[ts sv[eu so[pj ou[ro
此曲有意無人傳	ci[vb qu[ou yz[uo yi[lx wu[ee rf[pd ir[re
此日登臨曙色開	ci[vb ri[wh dg[dd lb[uv uu[os se[db kd[hc
此事不繫於職司	ci[vb ui[hk bu[eu ji[py yu[eu vi[ek si[vh
此時無聲勝有聲	ci[vb ui[oc wu[ee ug[um ug[op yz[uo ug[um
此物最相思	ci[vb wu[nb zv[oe xl[am si[tx
辭嚴義密讀難曉	ci[ql yj[hy yi[di mi[gu du[yu nj[yv xn[oq
詞中有誓兩心知	ci[yv vs[ku yz[uo ui[fy ll[hk xb[dv vi[uk
此州獨見全	ci[vb vz[dp du[qi jm[ke qr[rw
從臣才藝鹹第一	cs[rr if[ku cd[hu yi[cv xm[wh di[vg yi[hh
從此君王不早朝	cs[rr ci[vb jy[xk wh[su bu[eu zc[ou ic[uo
從今四海為家日	cs[rr jb[rd si[we hd[dr ww[dl jx[gu ri[wh
從今又幾年	cs[rr jb[rd yz[vd ji[pv nm[rn
從來幽並客	cs[rr ld[hm yz[yy bk[bk ke[gw
蹙金孔雀銀麒麟	cu[wz jb[rw ks[zv qt[xv yb[jg qi[gq lb[gm
粗沙大石相磨治	cu[mq ua[dx da[hr ui[ek xl[am mo[ge vi[ds
竄逐蠻荒幸不死	cr[xk vu[uz mj[yi hl[cw xk[tb bu[eu si[hx
崔顥	cv[uv hc[oy
翠花拂天來向東	cv[xw hx[cr fu[ff tm[hd ld[hm xl[pk ds[qx
翠華想像空山裡	cv[xw hx[ru xl[ax xl[rd ks[xg uj[uk li[ot
翠華搖搖行復止	cv[xw hx[ru yc[fa yc[fa xk[rh fu[ro vi[uh
崔九堂前幾度聞	cv[uv jq[pv th[xt qm[bo ji[pv du[gn wf[me
翠翹金雀玉搔頭	cv[xw qn[qx jb[rw qt[xv yu[wd sc[fy tz[dd
崔曙	cv[uv uu[os
崔塗	cv[uv tu[dr
翠微盍葉垂鬢脣	cv[xw ww[ru he[tm ye[ku iv[ph bb[ig iy[ik
崔嵬枝幹郊原古	cv[uv ww[ug vi[au gj[hu jn[le yr[ib gu[uk
摧心肝	cv[fu xb[dv gj[og
翠影紅霞映朝日	cv[xw yk[op hs[sg xx[yk yk[ok vc[uo ri[wh
大道如青天	da[hr dc[bz ru[nk qk[fo tm[hd
大荒沈沈飛雪白	da[hr hl[cw uf[dg uf[dg fw[vp xt[yx bd[po
大江茫茫去不黃	da[hr jl[dg mh[cd mh[cd qu[ts bu[eu hl[gy
大江溯輕舟	da[hr jl[dg su[dn qk[is vz[pk
大開明堂受朝賀	da[hr kd[hc mk[oo th[xt uz[ay ic[uo he[lb
大曆二年十月十九日夔府別駕元持宅見臨潁李十二孃舞劍器	da[hr li[il er[hh nm[rn ui[hu yt[ke ui[hu jq[pv ri[wh kv[bb fu[gr bp[kd jx[lm yr[ee ii[ft vd[gp jm[ke lb[uv yk[by li[az ui[hu er[hh nl[nl wu[rx jm[rd qi[kq
大漠窮秋塞草衰	da[hr mo[dc qs[xl qq[hh sd[gt cc[co uk[wk
大漠無兵阻	da[hr mo[dc wu[ee bk[qb zu[eq
打起黃鶯兒	da[fd qi[zk hl[gy yk[cn er[pv
達人之高行	da[dz rf[pd vi[dv gc[wk xk[rh
大廈如傾要樑棟	da[hr ua[ie ru[nk qk[rb yc[xn ll[da ds[aq
大廈深簷與蓋覆	da[hr ua[ie uf[dg yj[ad yu[hv gd[bm fu[xr
大弦嘈嘈如急雨	da[hr xm[gw cc[kh cc[kh ru[nk ji[dx yu[hk
大雪滿弓刀	da[hr xt[yx mj[dc gs[kv dc[vp
大珠小珠落玉盤	da[hr vu[wp xn[ub vu[wp lo[cd yu[wd pj[vm
待到重陽日	dd[rt dc[hd is[ph yh[eo ri[wh
黛色參天二千尺	dd[rh se[db cj[sd tm[hd er[hh qm[pu ii[ud
戴叔倫	dd[tt uu[uy ly[rr
待曉堂前拜舅姑	dd[rt xn[oq th[xt qm[bo bd[fh jq[jt gu[ng
玳筵急管曲復終	dd[wr yj[vp ji[dx gr[vg qu[ou fu[ro vs[sw
岱宗夫如何	dd[ru zs[ge fu[er ru[nk he[rk
但道困苦乞為奴	dj[ro dc[bz ky[wa ku[cg qi[rv ww[dl nu[ny
丹鳳城南秋夜長	dj[kw fg[jy ig[tw nj[uk qq[hh ye[wr ih[ph
但恨無過王右軍	dj[ro hf[xg wu[ee go[cz wh[su yz[uk jy[gi
但見悲鳥號古木	dj[ro jm[ke bw[fx nn[nh hc[kk gu[uk mu[ub
但見淚痕溼	dj[ro jm[ke lw[dm hf[bg ui[do
但見群鷗日日來	dj[ro jm[ke qy[xy ou[kn ri[wh ri[wh ld[hm
但見新人笑	dj[ro jm[ke xb[lj rf[pd xn[vp
但教心似金鈿堅	dj[ro jn[tw xb[dv si[rs jb[rw dm[jt jm[ut
但看古來盛名下	dj[ro kj[fm gu[uk ld[hm ug[wm mk[xk xx[hb
丹青不知老將至	dj[kw qk[fo bu[eu vi[uk lc[tb jl[dx vi[ht
丹青引贈曹霸將軍	dj[kw qk[fo yb[gu zg[bb cc[ho ba[yg jl[dx jy[gi
丹丘生	dj[kw qq[jh ug[pf
但去莫復聞	dj[ro qu[ts mo[co fu[ro wf[me
澹然空水對斜暉	dj[dd rj[xd ks[xg uv[uu dv[yc xp[rd hv[og
澹然離言說	dj[dd rj[xd li[wk yj[we uo[yb
淡掃蛾眉朝至尊	dj[dh sc[fx ee[ip mw[mm ic[uo vi[ht zy[bc
但聞人語響	dj[ro wf[me rf[pd yu[yw xl[kp
但願長醉不願醒	dj[ro yr[ix ih[ph zv[yw bu[eu yr[ix xk[yo
丹灶初開火	dj[kw zc[ht iu[yd kd[hc ho[dp
當君懷歸日	dh[xx jy[xk hk[xb gv[ux ri[wh
當流赤足蹋澗石	dh[xx lq[dw ii[ty zu[kv ta[zo jm[dm ui[ek
當路誰相假	dh[xx lu[zw uv[yv xl[am jx[rk
當仁自古有不讓	dh[xx rf[re zi[pm gu[uk yz[uo bu[eu rh[yu
當時浣紗伴	dh[xx ui[oc hr[dg ua[sx bj[rb
當時只記入山深	dh[xx ui[oc vi[kb ji[yk ru[pd uj[uk uf[dg
蕩胸生層雲	dh[cd xs[ob ug[pf cg[ue yy[es
當軒下馬入錦茵	dh[xx xr[ig xx[hb ma[vv ru[pd jb[jb yb[cw
當與夢時同	dh[xx yu[hv mg[ax ui[oc ts[kh
到此躊躇不能去	dc[hd ci[vb iz[zf iu[zc bu[eu ng[sb qu[ts
道寄人知	dc[bz ji[gd rf[pd vi[uk
道旁過者問行人	dc[bz ph[lf go[cz ve[to wf[mk xk[rh rf[pd
道人庭宇靜	dc[bz rf[pd tk[gq yu[ge jk[fd
道由白雲盡	dc[bz yz[ou bd[po yy[es jb[ud
得無金丸懼	de[ro wu[ee jb[rw wj[jd ju[xj
得相能開國	de[ro xl[am ng[sb kd[hc go[ww
德以象賢	de[ru yi[sr xl[dk xm[ub
磴道盤虛空	dg[ed dc[bz pj[vm xu[hy ks[xg
登高	dg[dd gc[wk
登高壯觀天地間	dg[dd gc[wk vl[du gr[yj tm[hd di[ty jm[mo
登鸛雀樓	dg[dd gr[cn qt[xv lz[am
登樂遊原	dg[dd le[px yz[df yr[ib
登臨出世界	dg[dd lb[uv iu[ck ui[nv jp[tr
登柳州城樓寄漳汀封連四州刺史	dg[dd lq[ap vz[dp ig[tw lz[am ji[gd vh[dl tk[dd fg[tc lm[iz si[we vz[dp ci[cd ui[ki
登樓	dg[dd lz[am
燈下白頭人	dg[hd xx[hb bd[po tz[dd rf[pd
鄧攸無子尋知命	dg[ye yz[ru wu[ee zi[lh xy[xc vi[uk mk[rh
登幽州臺歌	dg[dd yz[yy vz[dp td[sk ge[kd
登岳陽樓	dg[dd yt[qu yh[eo lz[am
登舟望秋月	dg[dd vz[pk wh[ww qq[hh yt[ke
地崩山摧壯士死	di[ty bg[uo uj[uk cv[fu vl[du ui[uh si[hx
帝得聖相相曰度	di[lj de[ro ug[yt xl[am xl[am yt[wh du[gn
低空有斷雲	di[ru ks[xg yz[uo dr[mj yy[es
低眉信手續續彈	di[ru mw[mm xb[ry uz[su xu[su xu[su dj[gb
低頭思故鄉	di[ru tz[dd si[tx gu[gw xl[sp
低頭向暗壁	di[ru tz[dd xl[pk an[ol bi[ut
滌瑕盪垢清朝班	di[dw xx[wk dh[cd gz[tp qk[df ic[uo bj[wd
地下若逢陳後主	di[ty xx[hb ro[cu fg[wz if[eq hz[pk vu[dw
帝鄉明日到	di[lj xl[sp mk[oo ri[wh dc[hd
弟兄羈旅各西東	di[bg xs[ke ji[sg lv[fr ge[wk xi[hk ds[qx
地猶鄹氏邑	di[ty yz[qy zz[ee ui[pq yi[kb
帝曰汝度功第一	di[lj yt[wh ru[dn du[gn gs[gl di[vg yi[hh
弟子韓幹早入室	di[bg zi[lh hj[uw gj[hu zc[ou ru[pd ui[gh
弟走從軍阿姨死	di[bg zz[tv cs[rr jy[gi aa[ek yi[nh si[hx
點竄堯典舜典字	dm[bd cr[xk yc[qh dm[kb uy[ax dm[kb zi[gz
鈿合金釵寄將去	dm[jt he[rh jb[rw id[jy ji[gd jl[dx qu[ts
鈿頭銀篦擊節碎	dm[jt tz[dd yb[jg bi[vp ji[fk jp[ce sv[ew
調角斷清秋	dn[yk jn[do dr[mj qk[df qq[hh
弔影分為千里雁	dn[kj yk[op ff[bd ww[dl qm[pu li[ot yj[ir
東船西舫悄無言	ds[qx ir[vj xi[hk fh[vf qn[xx wu[ee yj[we
洞房昨夜停紅燭	ds[dk fh[hf zo[ov ye[wr tk[rw hs[sg vu[hi
東風不與周郎便	ds[qx fg[ji bu[eu yu[hv vz[kt lh[le bm[rh
東風無力百花殘	ds[qx fg[ji wu[ee li[vp bd[eo hx[cr cj[hj
董夫子	ds[cp fu[er zi[lh
冬歌	ds[wd ge[kd
洞壑當門前	ds[dk he[bt dh[xx mf[du qm[bo
東郊	ds[qx jn[le
東來橐駝滿舊都	ds[qx ld[hm to[he to[mg mj[dc jq[uo du[te
東林懷我師	ds[qx lb[aa hk[xb wo[pf ui[uh
洞門高閣靄餘輝	ds[dk mf[du gc[wk ge[mw ai[yy yu[ur hv[xg
東門酤酒飲我曹	ds[qx mf[du gu[yg jq[dy yb[ud wo[pf cc[ho
動如參與商	ds[el ru[nk cj[sd yu[hv uh[lk
洞天石扇	ds[dk tm[hd ui[ek uj[hx
洞庭連天九嶷高	ds[dk tk[gq lm[iz tm[hd jq[pv yi[ub gc[wk
洞庭秋水遠連天	ds[dk tk[gq qq[hh uv[uu yr[ez lm[iz tm[hd
東望都門信馬歸	ds[qx wh[ww du[te mf[du xb[ry ma[vv gv[ux
洞在清溪何處邊	ds[dk zd[ut qk[df xi[da he[rk iu[wb bm[lz
斗酒十千恣歡謔	dz[du jq[dy ui[hu qm[pu zi[dx hr[yd xt[yh
讀罷淚沾襟	du[yu ba[st lw[dm vj[db jb[ya
獨出冠時	du[qi iu[ck gr[ge ui[oc
獨愴然而涕下	du[qi il[xr rj[xd er[ek ti[db xx[hb
獨釣寒江雪	du[qi dn[jb hj[gd jl[dg xt[yx
杜甫	du[at fu[uo
渡漢江	du[dg hj[dy jl[dg
都護鐵衣冷猶著	du[te hu[fh tp[jp yi[wy lg[dr yz[qy vu[ct
渡荊門送別	du[dg jk[cd mf[du ss[bz bp[kd
杜鵑啼血猿哀鳴	du[at jr[kn ti[kl xt[pm yr[qt ai[wk mk[kn
獨立三邊靜	du[qi li[lh sj[hh bm[lz jk[fd
獨立揚新令	du[qi li[lh yh[fv xb[lj lk[rd
獨憐幽草澗邊生	du[qi lm[xr yz[yy cc[co jm[dm bm[lz ug[pf
獨留青冢向黃昏	du[qi lq[pt qk[fo vs[gu xl[pk hl[gy hy[uo
杜牧	du[at mu[nw
獨敲初夜磬	du[qi qn[wb iu[yd ye[wr qk[ue
杜審言	du[at uf[go yj[we
賭勝馬蹄下	du[bt ug[op ma[vv ti[zl xx[hb
獨戍臨江夜泊船	du[qi uu[wd lb[uv jl[dg ye[wr bo[db ir[vj
獨宿江城蠟炬殘	du[qi su[gr jl[dg ig[tw la[ig ju[hk cj[hj
渡頭餘落日	du[dg tz[dd yu[ur lo[cd ri[wh
杜荀鶴	du[at xy[cb he[gn
獨夜憶秦關	du[qi ye[wr yi[xv qb[sh gr[bt
獨有鳳凰池上客	du[qi yz[uo fg[jy hl[jb ii[dy uh[bh ke[gw
獨有宦遊人	du[qi yz[uo hr[gk yz[df rf[pd
渡遠荊門外	du[dg yr[ez jk[cd mf[du wd[xb
獨在異鄉為異客	du[qi zd[ut yi[kc xl[sp ww[dl yi[kc ke[gw
獨酌無相親	du[qi vo[yb wu[ee xl[am qb[la
獨坐幽篁裡	du[qi zo[rr yz[yy hl[vb li[ot
端居恥聖明	dr[lu ju[ug ii[ev ug[yt mk[oo
斷絕胡兒戀母聲	dr[mj jt[sd hu[go er[pv lm[yx mu[vv ug[um
斷無消息石榴紅	dr[mj wu[ee xn[dx xi[zx ui[ek lq[ap hs[sg
斷雁警愁眠	dr[mj yj[ir jk[cy iz[hx mm[mm
對此結中腸	dv[yc ci[vb jp[su vs[ku ih[ov
對此可以酣高樓	dv[yc ci[vb ke[dk yi[sr hj[yg gc[wk lz[am
對此如何不淚垂	dv[yc ci[vb ru[nk he[rk bu[eu lw[dm iv[ph
對此涕淚雙滂沱	dv[yc ci[vb ti[db lw[dm ul[yy ph[dl to[dg
對此欲倒東南傾	dv[yc ci[vb yu[bd dc[rh ds[qx nj[uk qk[rb
對棋陪謝傅	dv[yc qi[aq pw[el xp[yu fu[rf
對影成三人	dv[yc yk[op ig[wv sj[hh rf[pd
多病故人疏	do[xx bk[bh gu[gw rf[pd uu[pw
多難識君遲	do[xx nj[yv ui[yk jy[xk ii[uz
多歧路	do[xx qi[vu lu[zw
峨嵋山下少人行	ee[up mw[um uj[uk xx[hb uc[xp rf[pd xk[rh
爾輩苦無恃	er[dx bw[fi ku[cg wu[ee ui[xt
爾來四萬八千歲	er[dx ld[hm si[we wj[hv ba[pd qm[pu sv[ux
二陵風雨自東來	er[hh lk[et fg[ji yu[hk zi[pm ds[qx ld[hm
兒女共沾巾	er[pv nv[vp gs[gb vj[db jb[ku
兒女忽成行	er[pv nv[vp hu[bx ig[wv xk[rh
而聽	er[ek tk[kj
兒童相見不相識	er[pv ts[lo xl[am jm[ke bu[eu xl[am ui[yk
而往來者	er[ek wh[rd ld[hm ve[to
二雅褊迫無委蛇	er[hh ya[yv bm[yh po[bz wu[ee ww[hn yi[ig
二月黃鸝飛上林	er[hh yt[ke hl[gy li[hn fw[vp uh[bh lb[aa
發聲幽息	fa[vy ug[um yz[yy xi[zx
泛泛入煙霧	fj[dp fj[dp ru[pd yj[hw wu[yw
蕃漢斷消息	fj[cp hj[dy dr[mj xn[dx xi[zx
返景入深林	fj[pz jk[ow ru[pd uf[dg lb[aa
煩君最相警	fj[hy jy[xk zv[oe xl[am jk[cy
煩痾近消散	fj[hy ke[bk jb[jz xn[dx sj[gw
凡六百一十六言	fj[jd lq[wb bd[eo yi[hh ui[hu lq[wb yj[we
蕃情似此水	fj[cp qk[xf si[rs ci[vb uv[uu
翻身向天仰射雲	fj[px uf[pu xl[pk tm[hd yh[rp ue[uc yy[es
反是生女好	fj[py ui[op ug[pf nv[vp hc[nz
繁星宿故關	fj[ry xk[op su[gr gu[gw gr[bt
翻疑夢裡逢	fj[px yi[bs mg[ax li[ot fg[wz
芳草萋萋鸚鵡洲	fh[cf cc[co qi[ch qi[ch yk[bn wu[wn vz[dd
芳草已雲暮	fh[cf cc[co yi[kv yy[es mu[co
方今太平日無事	fh[dw jb[rd td[dd pk[hb ri[wh wu[ee ui[hk
訪舊半為鬼	fh[yf jq[uo bj[bf ww[dl gv[be
芳心向春盡	fh[cf xb[dv xl[pk iy[so jb[ud
方知大蕃地	fh[dw vi[uk da[hr fj[cp di[ty
翡翠衾寒誰與共	fw[fx cv[xw qb[ry hj[gd uv[yv yu[hv gs[gb
飛鳥沒何處	fw[vp nn[nh mw[dj he[rk iu[wb
飛入尋常百姓家	fw[vp ru[pd xy[xc ih[xk bd[eo xk[np jx[gu
飛沈理自隔	fw[vp uf[dg li[wo zi[pm ge[eh
飛湍瀑流爭喧豗	fw[vp tr[du pu[do lq[dw vg[dx xr[kg hv[[
非謂文墨	fw[su ww[yt wf[wi mo[ht
分曹射覆蠟燈紅	ff[bd cc[ho ue[uc fu[xr la[ig dg[hd hs[sg
分曹限紫微	ff[bd cc[ho xm[eg zi[vy ww[ru
紛紛暮雪下轅門	ff[sf ff[sf mu[co xt[yx xx[hb yr[it mf[du
分明怨恨曲中論	ff[bd mk[oo yr[xx hf[xg qu[ou vs[ku ly[yr
紛牆丹柱動光彩	ff[sf ql[tt dj[kw vu[ad ds[el gl[xe cd[ap
焚燒殺掠	ff[ah uc[hq ua[ia lt[fw
分野中峰變	ff[bd ye[oy vs[ku fg[uw bm[yy
風波不信菱枝弱	fg[ji bo[dp bu[eu xb[ry lk[ct vi[au ro[gg
風掣紅旗凍不翻	fg[ji ie[nf hs[sg qi[fr ds[dq bu[eu fj[px
風塵何處期	fg[ji if[xt he[rk iu[wb qi[qo
風塵澒洞昏王室	fg[ji if[xt hs[[ ds[dk hy[uo wh[su ui[gh
風塵荏苒音書絕	fg[ji if[xt rf[cr rj[ck yb[lo uu[vv jt[sd
風吹柳花滿店香	fg[ji iv[kd lq[ap hx[cr mj[dc dm[gb xl[ho
風吹仙袂飄飄舉	fg[ji iv[kd xm[ru mw[yv pn[xf pn[xf ju[xf
風多響易沉	fg[ji do[xx xl[kp yi[ob if[dg
鳳歌笑孔丘	fg[jy ge[kd xn[vp ks[zv qq[jh
奉和聖制從蓬萊向興慶閣道中留春雨中春望之作應制	fg[sf he[hk ug[yt vi[nd cs[rr pg[cw ld[cl xl[pk xk[xb qk[gd ge[mw dc[bz vs[ku lq[pt iy[so yu[hk vs[ku iy[so wh[ww vi[dv zo[rv yk[gx vi[nd
奉和中書舍人賈至早朝大明宮	fg[sf he[hk vs[ku uu[vv ue[rg rf[pd jx[xb vi[ht zc[ou ic[uo da[hr mk[oo gs[gk
鳳凰池對青瑣門	fg[jy hl[jb ii[dy dv[yc qk[fo so[wx mf[du
烽火連三月	fg[hw ho[dp lm[iz sj[hh yt[ke
風急天高猿嘯哀	fg[ji ji[dx tm[hd gc[wk yr[qt xn[kx ai[wk
奉濟驛重送嚴公四韻	fg[sf ji[dw yi[my vs[ph ss[bz yj[hy gs[bs si[we yy[lb
封狼生貙貙生羆	fg[tc lh[ql ug[pf iu[[ iu[[ ug[pf pi[sd
風流儒雅亦吾師	fg[ji lq[dw ru[ry ya[yv yi[wy wu[wk ui[uh
風流天下聞	fg[ji lq[dw tm[hd xx[hb wf[me
風鳴兩岸葉	fg[ji mk[kn ll[hk an[ui ye[ku
風暖鳥聲碎	fg[ji nr[oa nn[nh ug[um sv[ew
楓橋夜泊	fg[af qn[ap ye[wr bo[db
風泉滿清聽	fg[ji qr[bu mj[dc qk[df tk[kj
逢入京使	fg[wz ru[pd jk[wk ui[rh
風送宮嬪笑語和	fg[ji ss[bz gs[gk pb[ng xn[vp yu[yw he[hk
風頭如刀面如割	fg[ji tz[dd ru[nk dc[vp mm[ew ru[nk ge[gd
鳳尾香羅薄幾重	fg[jy ww[um xl[ho lo[sx bo[cd ji[pv is[ph
風物悽悽宿雨收	fg[ji wu[nb qi[dh qi[dh su[gr yu[hk uz[vw
風煙望五津	fg[ji yj[hw wh[ww wu[hu jb[dy
楓葉荻花秋瑟瑟	fg[af ye[ku di[cq hx[cr qq[hh se[wx se[wx
楓葉落紛紛	fg[af ye[ku lo[cd ff[sf ff[sf
風雨	fg[ji yu[hk
風雲常為護儲胥	fg[ji yy[es ih[xk ww[dl hu[fh iu[ry xu[po
風正一帆懸	fg[ji vg[hv yi[hh fj[jj xr[qx
風枝驚暗鵲	fg[ji vi[au jk[xw an[ol qt[gn
扶持自是神明力	fu[fe ii[ft zi[pm ui[op uf[uo mk[oo li[vp
賦得古原草送別	fu[bw de[ro gu[uk yr[ib cc[co ss[bz bp[kd
賦得暮雨送李胄	fu[bw de[ro mu[co yu[hk ss[bz li[az vz[yo
富貴於我如浮雲	fu[gh gv[vb yu[eu wo[pf ru[nk fu[da yy[es
復令識者久嘆嗟	fu[ro lk[rd ui[yk ve[to jq[xd tj[ky jp[ky
撫念益慈柔	fu[fe nm[rx yi[bm ci[bx rz[ya
芙蓉旌旗煙霧落	fu[ce rs[cx jk[fr qi[fr yj[hw wu[yw lo[cd
芙蓉樓送辛漸	fu[ce rs[cx lz[am ss[bz xb[lu jm[di
芙蓉如面柳如眉	fu[ce rs[cx ru[nk mm[ew lq[ap ru[nk mw[mm
芙蓉塘外有輕雷	fu[ce rs[cx th[tg wd[xb yz[uo qk[is lw[yt
芙蓉帳暖度春宵	fu[ce rs[cx vh[ji nr[oa du[gn iy[so xn[gx
撫事慷慨	fu[fe ui[hk kh[xg kd[xg
浮天滄海遠	fu[da tm[hd ch[dr hd[dr yr[ez
俯聽聞驚風	fu[rg tk[kj wf[me jk[xw fg[ji
夫婿輕薄兒	fu[er xu[np qk[is bo[cd er[pv
負以靈鰲蟠以螭	fu[db yi[sr lk[xh ao[fy pj[ip yi[sr ii[iw
俯飲一杯酒	fu[rg yb[ud yi[hh bw[ab jq[dy
浮雲一別後	fu[da yy[es yi[hh bp[kd hz[pk
浮雲遊子意	fu[da yy[es yz[df zi[lh yi[lx
浮雲終日行	fu[da yy[es vs[sw ri[wh xk[rh
復照青苔上	fu[ro vc[od qk[fo td[cs uh[bh
復值接輿醉	fu[ro vi[ru jp[fl yu[pb zv[yw
腹中貯書一萬卷	fu[or vs[ku vu[bg uu[vv yi[hh wj[hv jr[be
夫子何為者	fu[er zi[lh he[rk ww[dl ve[to
蓋蒙其傷憐而已	gd[bm mg[ch qi[cb uh[rr lm[xr er[ek yi[kv
感此懷故人	gj[wx ci[vb hk[xb gu[gw rf[pd
感此傷妾心	gj[wx ci[vb uh[rr qp[ln xb[dv
感而綴詩	gj[wx er[ek vv[sy ui[yt
敢告雲山從此始	gj[vw gc[nk yy[es uj[uk cs[rr ci[vb ui[ns
敢將十指誇針巧	gj[vw jl[dx ui[hu vi[fb kx[dh vf[ju qn[gk
感時撫事增惋傷	gj[wx ui[oc fu[fe ui[hk zg[tb wj[xg uh[rr
感時花濺淚	gj[wx ui[oc hx[cr jm[db lw[dm
感斯人言	gj[wx si[qj rf[pd yj[we
幹惟畫肉不畫骨	gj[hu ww[xv hx[ht rz[kr bu[eu hx[ht gu[ko
感我此言良久立	gj[wx wo[pf ci[vb yj[we ll[dg jq[xd li[lh
感遇四首之二	gj[wx yu[oz si[we uz[be vi[dv er[hh
感遇四首之三	gj[wx yu[oz si[we uz[be vi[dv sj[hh
感遇四首之四	gj[wx yu[oz si[we uz[be vi[dv si[we
感遇四首之一	gj[wx yu[oz si[we uz[be vi[dv yi[hh
感征戍之事	gj[wx vg[rh uu[wd vi[dv ui[hk
感子故意長	gj[wx zi[lh gu[gw yi[lx ih[ph
高才脫略名與利	gc[wk cd[hu to[ob lt[tw mk[xk yu[hv li[hd
高帝子孫盡隆準	gc[wk di[lj zi[lh sy[zx jb[ud ls[ew vy[dv
高風漢陽渡	gc[wk fg[ji hj[dy yh[eo du[dg
杲杲寒日生於東	gc[oa gc[oa hj[gd ri[wh ug[pf yu[eu ds[qx
高閣客竟去	gc[wk ge[mw ke[gw jk[lo qu[ts
告歸常侷促	gc[nk gv[ux ih[xk ju[uv cu[rz
高樓當此夜	gc[wk lz[am dh[xx ci[vb ye[wr
高明逼神惡	gc[wk mk[oo bi[hz uf[uo ee[hx
高山安可仰	gc[wk uj[uk an[gn ke[dk yh[rp
高適	gc[wk ui[qz
高樹曉還密	gc[wk uu[ay xn[oq hd[bz mi[gu
縞素漠漠開風沙	gc[sw su[fy mo[dc mo[dc kd[hc fg[ji ua[dx
高堂明鏡悲白髮	gc[wk th[xt mk[oo jk[jl bw[fx bd[po fa[vy
高臥南齋時	gc[wk wo[kb nj[uk vd[we ui[oc
閣道回看上苑花	ge[mw dc[bz hv[wk kj[fm uh[bh yr[cx hx[cr
隔江猶唱後庭花	ge[eh jl[dg yz[qy ih[ko hz[pk tk[gq hx[cr
隔籬呼取盡餘杯	ge[eh li[vw hu[kp qu[ey jb[ud yu[ur bw[ab
隔山望南鬥	ge[eh uj[uk wh[ww nj[uk dz[du
哥舒歌	ge[kk uu[ry ge[kd
哥舒夜帶刀	ge[kk uu[ry ye[wr dd[cj dc[vp
隔水問樵夫	ge[eh uv[uu wf[mk qn[av fu[er
閣夜	ge[mw ye[wr
隔葉黃鸝空好音	ge[eh ye[ku hl[gy li[hn ks[xg hc[nz yb[lo
歌以贈之	ge[kd yi[sr zg[bb vi[dv
各在一處	ge[wk zd[ut yi[hh iu[wb
隔座送鉤春酒暖	ge[eh zo[gr ss[bz gz[jb iy[so jq[dy nr[oa
更隔蓬山一萬重	gg[ho ge[eh pg[cw uj[uk yi[hh wj[hv is[ph
耿耿星河欲曙天	gg[eh gg[eh xk[op he[dk yu[bd uu[os tm[hd
更教明月照流黃	gg[ho jn[tw mk[oo yt[ke vc[od lq[dw hl[gy
更堪江上鼓鼙聲	gg[ho kj[tq jl[dg uh[bh gu[uu pi[ub ug[um
更上一層樓	gg[ho uh[bh yi[hh cg[ue lz[am
更深月色半人家	gg[ho uf[dg yt[ke se[db bj[bf rf[pd jx[gu
更有明朝恨	gg[ho yz[uo mk[oo ic[uo hf[xg
功成不退皆殞身	gs[gl ig[wv bu[eu tv[gz jp[bb yy[hk uf[pu
宮詞	gs[gk ci[yv
共此燈燭光	gs[gb ci[vb dg[hd vu[hi gl[xe
公從何處得紙本	gs[bs cs[rr he[rk iu[wb de[ro vi[su bf[ah
功蓋三分國	gs[gl gd[bm sj[hh ff[bd go[ww
宮館何玲瓏	gs[gk gr[ug he[rk lk[wr ls[wy
宮花寂寞紅	gs[gk hx[cr ji[gu mo[gc hs[sg
共看明月應垂淚	gs[gb kj[fm mk[oo yt[ke yk[gx iv[ph lw[dm
共來百越文身地	gs[gb ld[hm bd[eo yt[zh wf[wi uf[pu di[ty
共憐時世儉梳妝	gs[gb lm[xr ui[oc ui[nv jm[rr uu[aw vl[dn
公孫劍器初第一	gs[bs sy[zx jm[rd qi[kq iu[yd di[vg yi[hh
公孫一人而已	gs[bs sy[zx yi[hh rf[pd er[ek yi[kv
公退齋戒坐小閣	gs[bs tv[gz vd[we jp[gc zo[rr xn[ub ge[mw
功無與讓恩不訾	gs[gl wu[ee yu[hv rh[yu en[wx bu[eu zi[vy
公之斯文不示後	gs[bs vi[dv si[qj wf[wi bu[eu ui[ex hz[pk
公之斯文若元氣	gs[bs vi[dv si[qj wf[wi ro[cu yr[ee qi[rh
公主琵琶幽怨多	gs[bs vu[dw pi[wb pa[wb yz[yy yr[xx do[xx
共醉重陽節	gs[gb zv[yw is[ph yh[eo jp[ce
古柏行	gu[uk bd[ab xk[rh
